,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,MolMR,HeavyAtomCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,RingCount,TPSA,LabuteASA,BalabanJ,BertzCT,base_rdkit_smiles
10,BGNGWHSBYQYVRX-UHFFFAOYSA-N,-2.2827688499,0.0,1,G1,149.19299999999998,1.5651,46.15650000000002,11.0,2.0,0.0,2.0,2.0,58.0,1.0,0.0,0.0,1.0,20.31,66.44758523293392,2.90982279990154,238.24457522403964,CN(C)c1ccc(C=O)cc1
11,FLUWAIIVLCVEKF-UHFFFAOYSA-N,-2.3946499685,0.0,1,G1,192.25800000000004,2.570800000000001,55.99100000000004,14.0,2.0,0.0,2.0,3.0,76.0,1.0,0.0,0.0,1.0,26.3,84.89612313542727,2.633870023427366,301.3575848525983,CC(=O)OC(C)(C)Cc1ccccc1
12,YJZHZFOWHRKQHS-UHFFFAOYSA-N,-1.9803097957,0.1558590555003896,4,G5,733.0020000000002,12.05423999999998,225.48479999999927,54.0,6.0,6.0,6.0,0.0,288.0,6.0,0.0,0.0,6.0,121.38,322.89073780339857,3.239999990671114e-07,1804.418547468813,Cc1cc(C)cc(O)c1
13,HHRACYLRBOUBKM-UHFFFAOYSA-N,-3.4302388798,0.0,1,G1,206.285,2.761700000000001,60.377000000000045,15.0,2.0,0.0,2.0,3.0,82.0,1.0,1.0,1.0,2.0,21.76,91.20725722575776,1.961588002134354,317.38434399782966,CC(C)(C)c1ccc(OCC2CO2)cc1
14,VYKSRLDHXQURKA-UHFFFAOYSA-N,-3.5440597008,0.0,1,G1,260.255,3.7048000000000014,61.50150000000003,18.0,2.0,0.0,5.0,6.0,100.0,1.0,0.0,0.0,1.0,26.3,103.75767145860256,2.542670430809308,382.2179844419697,COCCCCC(=O)c1ccc(C(F)(F)F)cc1
15,GLZPCOQZEFWAFX-YFHOEESVSA-N,-2.3206011661000003,0.0716328692630134,4,G5,154.253,2.6714000000000016,49.50780000000003,11.0,1.0,1.0,1.0,4.0,64.0,0.0,0.0,0.0,0.0,20.23,69.43875774522651,3.54438743137085,150.25571236699292,CC(C)=CCC/C(C)=C\CO
16,WNTGYJSOUMFZEP-UHFFFAOYSA-N,-2.4660307863,0.0606208768005135,4,G5,214.648,2.5003199999999994,53.91480000000002,14.0,2.0,1.0,4.0,3.0,76.0,1.0,0.0,0.0,1.0,46.53,87.26373888571173,2.817664884623791,349.2203893594689,Cc1cc(Cl)ccc1OC(C)C(=O)O
17,FHIAIHDDIOVFSY-UHFFFAOYSA-L,-2.9581950472000003,0.0,1,G1,660.2820000000003,9.3243,163.39599999999962,35.0,8.0,0.0,11.0,20.0,208.0,0.0,0.0,0.0,0.0,36.92,251.87007803628515,-5.688888673925933e-07,523.6422056449971,CCCCC(CC)COP(=S)([S-])OCC(C)C
18,YTCGOUNVIAWCMG-UHFFFAOYSA-N,-3.4115138849,0.0,1,G1,180.556,3.3588000000000005,36.454000000000015,11.0,0.0,0.0,4.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,66.59621766955395,3.059901692217984,254.10775327612677,FC(F)(F)c1cccc(Cl)c1
19,DHEHEJGXTUCSQF-UHFFFAOYSA-N,-3.5134687407,0.0,1,G1,228.33199999999997,2.780900000000001,63.16900000000005,16.0,3.0,0.0,3.0,7.0,94.0,0.0,1.0,1.0,1.0,38.83,98.50133780611716,2.3749595757377504,233.33220565073853,CCC(C)(CCC(C)C)C(=O)OCC1CO1
20,ZHUWXKIPGGZNJW-UHFFFAOYSA-N,-4.4543816995,0.0,1,G1,218.362,3.0659000000000023,62.73500000000005,14.0,3.0,1.0,3.0,8.0,84.0,0.0,0.0,0.0,0.0,26.3,92.81880616474798,3.092076464177061,146.22295770630774,CC(C)CCCCCOC(=O)CCS
21,MOYAFQVGZZPNRA-UHFFFAOYSA-N,-4.2873429345,0.1312305914581116,3,G5,136.238,3.453000000000002,45.98200000000003,10.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.0,1.0,0.0,63.63869283950127,2.668730432311545,178.21499122004107,CC1=CCC(=C(C)C)CC1
22,URGAHOPLAPQHLN-UHFFFAOYSA-N,-3.4731390517,0.0,1,G1,202.138,-9.132,18.635,10.0,6.0,0.0,10.0,0.0,48.0,0.0,0.0,0.0,0.0,126.38,92.7462049304502,-2.9999999833333334e-08,73.74860596185444,O=[Si]([O-])[O-]
23,IQODPIFSDKREOZ-UHFFFAOYSA-M,-2.3632080977000003,0.0,1,G1,150.47199999999998,-0.6901000000000002,19.820999999999994,7.0,2.0,0.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,40.13,54.98355823363974,0.0,75.69058447171099,C=C(C)C(=O)[O-]
24,SQVIAVUSQAWMKL-UHFFFAOYSA-N,-3.4541026398000003,0.0,1,G1,181.235,1.0351,51.61030000000003,13.0,3.0,3.0,3.0,4.0,72.0,1.0,0.0,0.0,1.0,52.49,78.02950126508347,2.5971508214906804,262.8565878189707,CCNCC(O)c1cccc(O)c1
25,PWMSQVOBEKFBRF-UHFFFAOYSA-L,-2.9908768679000004,0.0,1,G1,604.1740000000001,8.045700000000007,144.97999999999985,31.0,8.0,0.0,11.0,14.0,184.0,0.0,0.0,0.0,0.0,36.92,226.41030957869867,-4.899999846710943e-07,495.3092236814911,CCC(C)OP(=S)([S-])OC(C)CC(C)C
26,IRSVDHPYXFLLDS-UHFFFAOYSA-N,-3.5129421932,0.0,1,G1,195.476,3.7322000000000015,46.01900000000001,10.0,0.0,0.0,3.0,1.0,54.0,1.0,0.0,0.0,1.0,0.0,74.70614391453859,3.06998271499884,232.29287048965844,ClCc1ccc(Cl)cc1Cl
27,WTARULDDTDQWMU-UHFFFAOYSA-N,-4.2923134549,1.247787365862471,3,G4,136.238,2.9987000000000013,43.75200000000002,10.0,0.0,0.0,0.0,0.0,56.0,0.0,3.0,3.0,3.0,0.0,63.322464718156304,2.2310808128795734,174.47733175670794,C=C1CCC2CC1C2(C)C
28,YGJDXOJIYODGEO-KVVVOXFISA-N,-4.8091341894,0.2862660720158071,3,G5,386.6210000000001,4.635500000000003,116.09770000000007,27.0,4.0,4.0,5.0,19.0,162.0,0.0,0.0,0.0,0.0,95.58,167.3590060365599,0.0,305.9330151827408,CCCCCCCC/C=C\CCCCCCCC(=O)O
29,QQQMUBLXDAFBRH-UHFFFAOYSA-N,-4.6341446203,0.1065374126499998,2,G3,258.402,3.831300000000003,74.48380000000006,18.0,3.0,1.0,3.0,12.0,108.0,0.0,0.0,0.0,0.0,46.53,111.91774171112876,3.053119778367266,190.1777353463783,CCCCCCCCCCCCOC(=O)C(C)O
30,AVXURJPOCDRRFD-UHFFFAOYSA-N,-0.763033718,0.861297999541175,7,G4,33.03,-0.6657000000000002,5.9739,2.0,2.0,2.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,46.25,12.462471862119653,1.0,2.0,NO
31,RZVINYQDSSQUKO-UHFFFAOYSA-N,-2.5636257131,0.2279659778,2,G3,192.21400000000003,1.7946,53.09300000000003,14.0,3.0,0.0,3.0,5.0,74.0,1.0,0.0,0.0,1.0,35.53,82.95512321835328,2.1621432588559366,292.660770563408,C=CC(=O)OCCOc1ccccc1
32,XVJXBJTXFXPQAN-UHFFFAOYSA-M,-2.6418192727000003,0.0,1,G1,499.71700000000016,6.85320000000001,143.3073999999999,35.0,4.0,1.0,6.0,12.0,192.0,3.0,0.0,0.0,3.0,77.43,211.31291541701668,2.559999906270004e-07,1108.112313870373,CCCC[N+](CCCC)(CCCC)Cc1ccccc1
33,FRPZMMHWLSIFAZ-UHFFFAOYSA-N,-3.5528261452,0.1154943836958407,3,G5,184.279,3.3778000000000024,54.76880000000004,13.0,1.0,1.0,2.0,9.0,76.0,0.0,0.0,0.0,0.0,37.3,80.65482499185117,2.9092867326592624,141.0257051333355,C=CCCCCCCCCC(=O)O
34,OKOCIUJVPQKDLL-UHFFFAOYSA-N,-4.0571851475,0.0,1,G1,570.3679999999999,2.2511,88.66290000000001,35.0,4.0,1.0,20.0,14.0,210.0,0.0,0.0,0.0,0.0,86.30000000000001,189.23659995248465,5.464762893378685,857.4056776910804,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)[O-]
35,UHFFVFAKEGKNAQ-UHFFFAOYSA-N,-4.7932278922,0.0,1,G1,366.50500000000017,3.6590000000000025,110.65950000000008,27.0,4.0,0.0,4.0,7.0,144.0,2.0,1.0,1.0,3.0,32.78,162.29176410035188,1.8475406911024352,736.7334819718303,CCC(Cc1ccccc1)(C(=O)c1ccc(N2CCOCC2)cc1)N(C)C
36,JSFITYFUKSFPBZ-UHFFFAOYSA-N,-4.587250024599999,0.0,1,G1,220.356,4.541200000000005,69.73380000000004,16.0,1.0,1.0,1.0,7.0,90.0,1.0,0.0,0.0,1.0,20.23,99.51011590126248,2.0485825635453776,273.99135499381475,CC(C)CCCCCCc1ccc(O)cc1
37,IBVPVTPPYGGAEL-UHFFFAOYSA-N,-4.4511392252,0.0,1,G1,158.24399999999994,3.7528000000000015,55.85800000000003,12.0,0.0,0.0,0.0,2.0,62.0,1.0,0.0,0.0,1.0,0.0,74.24184974150809,3.121805775248301,289.3151246505104,C=C(C)c1cccc(C(=C)C)c1
38,ZOKXTWBITQBERF-UHFFFAOYSA-N,-4.2038484637,0.0,1,G1,95.94,-0.0025,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21.756565851685,0.0,0.0,[Mo]
39,TVFJAZCVMOXQRK-UHFFFAOYSA-N,-4.581332510899999,0.0,1,G1,198.306,3.6697000000000015,58.82900000000004,14.0,2.0,0.0,2.0,6.0,82.0,0.0,0.0,0.0,0.0,26.3,87.33907858355865,3.2972151107499355,177.25097565253358,C=COC(=O)CCCCCC(C)(C)C
40,QCWXDVFBZVHKLV-UHFFFAOYSA-N,-4.4720217682,0.0484550064999997,2,G3,148.249,3.292520000000001,49.87900000000003,11.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,1.0,0.0,69.25611369147998,2.993754788259927,223.21037742768323,Cc1ccc(C(C)(C)C)cc1
41,NZNMSOFKMUBTKW-UHFFFAOYSA-N,-1.445031941,0.1824840295000001,2,G3,128.17100000000002,1.6513,34.21079999999999,9.0,1.0,1.0,2.0,1.0,52.0,0.0,1.0,1.0,1.0,37.3,54.87882841291975,2.312191533568197,103.48377837619049,O=C(O)C1CCCCC1
42,NVNQRAOQGCJYDU-QUSWNXLDSA-I,-0.4108977358,0.0,1,G1,1136.3280000000002,-14.301299999999994,212.88839999999985,69.0,26.0,3.0,38.0,15.0,340.0,5.0,0.0,1.0,6.0,433.56,507.5754717478887,4.760995252287465e-06,3615.453397418397,O=C1/C(=N/Nc2ccc3c(S(=O)(=O)[O-])cccc3c2S(=O)(=O)[O-])C(S(=O)(=O)[O-])=Cc2cc(S(=O)(=O)[O-])cc(Nc3nc(Cl)nc(Nc4cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c4)n3)c21
43,ATPFMBHTMKBVLS-NCDJPSHJSA-N,-3.8937390711,0.0,1,G1,344.502,6.115200000000006,116.13800000000003,26.0,2.0,0.0,2.0,11.0,134.0,2.0,0.0,0.0,2.0,24.72,157.27924160567198,1.4423245647333978,634.005206577911,C(/C=C/c1ccccc1)=NCCCCCCN=C/C=C/c1ccccc1
44,FQUNFJULCYSSOP-UHFFFAOYSA-N,-7.973715535399999,1.855923840245174,3,G4,658.8910000000001,9.583999999999996,198.0615999999994,49.0,8.0,2.0,8.0,8.0,256.0,6.0,0.0,0.0,6.0,101.88,289.349168262918,1.5526911798946943,1937.716888128168,CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1
45,ZFRUNHQZTYGGDY-UHFFFAOYSA-M,-3.0386996230000003,0.0,1,G1,426.3480000000001,2.200100000000001,109.51080000000007,28.0,5.0,0.0,9.0,8.0,152.0,2.0,0.0,0.0,2.0,71.1,176.32884399975933,3.919994885340289e-06,820.0639648889835,CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1
46,MHKLKWCYGIBEQF-UHFFFAOYSA-N,-3.8109627954,0.0,1,G1,252.364,2.635600000000001,67.86900000000003,16.0,5.0,0.0,5.0,2.0,84.0,2.0,1.0,1.0,3.0,25.36,102.55888264235138,1.7778971173782272,446.544227692605,c1ccc2sc(SN3CCOCC3)nc2c1
47,NQFUSWIGRKFAHK-BDNRQGISSA-N,-2.5936884915,0.0,1,G1,152.237,2.2099,43.27300000000001,11.0,1.0,0.0,1.0,0.0,62.0,0.0,4.0,4.0,4.0,12.53,68.11978182631822,1.9803152559514368,216.15777938858872,CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2
48,UIEBGVDTKLYGTN-UHFFFAOYSA-J,-0.4261364852,0.0,1,G1,1026.263,-9.94980000000002,197.20809999999983,63.0,23.0,4.0,35.0,15.0,314.0,5.0,0.0,0.0,5.0,414.74,451.0552539930664,4.961244189438353e-06,3157.9320304830944,NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(S(=O)(=O)CCOS(=O)(=O)[O-])c3)n2)ccc1N=Nc1cc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2cc1S(=O)(=O)[O-]
49,VDKPMRJPMMEELL-UHFFFAOYSA-L,-3.358911212,0.0,1,G1,868.35,4.107200000000002,211.2285999999996,58.0,16.0,3.0,21.0,20.0,296.0,5.0,0.0,0.0,5.0,246.79999999999995,386.4974508858,4.499988308032798e-06,2411.4689731610074,CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)[O-])cc5)cc4)c(S(=O)(=O)[O-])cc3c2)n1
50,GUVLYNGULCJVDO-UHFFFAOYSA-N,-2.7031744039,0.01873641255,2,G3,189.324,2.9815000000000014,55.68300000000004,12.0,2.0,0.0,3.0,5.0,72.0,0.0,0.0,0.0,0.0,20.31,79.70325373861478,3.81079475517114,121.69694286392864,CCCN(CCC)C(=O)SCC
51,VQMQXWYQIIUJIT-UHFFFAOYSA-N,-1.8357972344,0.0,1,G1,256.342,1.6236,66.56600000000006,18.0,4.0,0.0,4.0,8.0,104.0,0.0,3.0,3.0,3.0,43.52,108.92018597242529,1.2067216869131905,216.178546460492,C1CC(COCC2CO2)CCC1COCC1CO1
52,BTSZTGGZJQFALU-UHFFFAOYSA-N,-3.9054642035,0.4957119165154642,5,G5,298.427,1.94622,85.70370000000004,21.0,5.0,3.0,5.0,4.0,122.0,1.0,0.0,0.0,1.0,88.48,126.9251357998572,8.852940067272714e-07,473.3909247801034,Cc1cc(CC(C)CC(C)(C)C)n(O)c(=O)c1
53,XYJRXVWERLGGKC-UHFFFAOYSA-D,-4.1419008964,1.0438883114499995,2,G2,502.3070000000002,-10.5546,53.52530000000001,21.0,13.0,0.0,21.0,0.0,104.0,0.0,0.0,0.0,0.0,288.75,268.242500418216,-1.2857142818470984e-08,213.83899476132476,O=P([O-])([O-])[O-]
54,DWSWCPPGLRSPIT-UHFFFAOYSA-N,-1.7796231349,0.0,1,G1,215.168,4.328400000000002,61.32650000000002,15.0,2.0,0.0,3.0,0.0,72.0,3.0,0.0,0.0,3.0,30.21,86.97796986821221,2.702246345245809,700.3760069281869,O=[p+]1oc2ccccc2c2ccccc21
55,KOZCZZVUFDCZGG-UHFFFAOYSA-N,-2.6229591952,0.0,1,G1,148.16099999999997,1.9869,42.054500000000026,11.0,2.0,0.0,2.0,2.0,56.0,1.0,0.0,0.0,1.0,26.3,65.11169376005317,2.7666051691783182,251.52506007307375,C=COC(=O)c1ccccc1
56,UPIJOAFHOIWPLT-UHFFFAOYSA-N,-3.7398163758,0.0,1,G1,192.258,2.770700000000001,56.48150000000004,14.0,2.0,0.0,2.0,1.0,76.0,1.0,0.0,0.0,1.0,26.3,84.89612313542725,2.9499840415194707,317.1701202996886,COC(=O)c1ccc(C(C)(C)C)cc1
57,FYMOBFDUZIDKMI-UHFFFAOYSA-N,-2.8265354685000004,0.0,1,G1,178.275,2.556020000000001,55.74980000000004,13.0,1.0,1.0,1.0,3.0,72.0,1.0,0.0,0.0,1.0,20.23,80.41528955807264,2.743151502071168,276.2078950935822,Cc1cccc(CC(C)(C)CO)c1
58,HIGQPQRQIQDZMP-FLIBITNWSA-N,-3.7549532157,0.0,1,G1,196.29,3.242200000000002,59.05500000000004,14.0,2.0,0.0,2.0,5.0,80.0,0.0,0.0,0.0,0.0,26.3,86.64947555137438,3.670448527133007,232.70628424348945,CC(=O)OC/C=C(/C)CCC=C(C)C
59,ROKSAUSPJGWCSM-UWVGGRQHSA-N,-2.6959998037,0.0,1,G1,166.264,2.3612,49.78080000000004,12.0,1.0,1.0,1.0,2.0,68.0,0.0,1.0,3.0,3.0,20.23,74.48164058474893,2.127343829524432,215.0440022382592,CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
60,POSWICCRDBKBMH-UHFFFAOYSA-N,-1.6471414632,0.0,1,G1,140.22599999999997,2.401700000000001,41.80300000000001,10.0,1.0,0.0,1.0,0.0,58.0,0.0,1.0,1.0,1.0,17.07,62.81447888951695,2.594656161624282,146.80725598781606,CC1CC(=O)CC(C)(C)C1
61,VAZQKPWSBFZARZ-UHFFFAOYSA-N,-3.9515188418,0.0,1,G1,268.312,3.4616000000000016,78.52900000000004,20.0,3.0,0.0,3.0,6.0,102.0,2.0,0.0,0.0,2.0,35.53,118.01221742441732,2.0182771604006757,575.7988048405728,C=CC(=O)OCCOc1ccccc1-c1ccccc1
62,JOBBTVPTPXRUBP-UHFFFAOYSA-N,-5.1231687481,0.0182445359681366,3,G5,488.67100000000033,1.4251999999999998,120.14900000000004,29.0,12.0,4.0,12.0,16.0,168.0,0.0,0.0,0.0,0.0,105.20000000000002,192.2988608299848,5.354117665280892,436.0525055103621,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS
63,ODJUOZPKKHIEOZ-UHFFFAOYSA-N,-4.952868802799999,0.0,1,G1,284.399,4.657380000000004,87.28960000000004,21.0,2.0,2.0,2.0,2.0,112.0,2.0,0.0,0.0,2.0,40.46,126.63155963072929,2.614907029381243,591.197920970157,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O
64,DCXXMTOCNZCJGO-UHFFFAOYSA-N,-5.4730005799,0.0,1,G1,891.500999999999,18.769099999999984,270.43599999999896,63.0,6.0,0.0,6.0,53.0,374.0,0.0,0.0,0.0,0.0,78.9,393.0012114226912,4.296169818216157,885.5832274818622,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC
65,NMZMQQBBZRGLPJ-UHFFFAOYSA-N,-3.8230431676,0.025392856001213,3,G5,186.295,3.0119000000000016,54.48600000000005,13.0,2.0,0.0,2.0,4.0,78.0,0.0,0.0,0.0,0.0,26.3,81.66373950134626,3.740275419955663,155.96343903735325,CCOC(=O)CC(C)CC(C)(C)C
66,OYACROKNLOSFPA-UHFFFAOYSA-N,-2.6500869941,0.6867903313999999,2,G2,116.161,-3.2584,12.1945,5.0,3.0,0.0,5.0,0.0,24.0,0.0,0.0,0.0,0.0,63.19,60.5296530330518,0.0,29.87430298092722,O=[Si]([O-])[O-]
67,NTSLROIKFLNUIJ-UHFFFAOYSA-N,-1.0042604536,0.0,1,G1,121.18299999999998,1.95242,38.35200000000001,9.0,1.0,0.0,1.0,1.0,48.0,1.0,0.0,0.0,1.0,12.89,55.7458774436333,2.881555877646136,176.26405299160075,CCc1ccc(C)nc1
68,UJNOLBSYLSYIBM-NOOOWODRSA-N,-2.9799872046,0.0,1,G1,228.332,2.3712000000000004,62.90380000000005,16.0,3.0,1.0,3.0,3.0,94.0,0.0,1.0,1.0,1.0,46.53,98.18202632880626,2.6073457888093308,235.3322056507385,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O
69,OIGNJSKKLXVSLS-VWUMJDOOSA-N,-3.1784471289,0.0150465189500001,2,G3,360.4500000000002,1.5576,95.04840000000004,26.0,5.0,3.0,5.0,2.0,142.0,0.0,3.0,4.0,4.0,94.83,153.34130809395185,1.7472814479871792,723.9130815015496,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
70,FPAYXBWMYIMERV-UHFFFAOYSA-L,-1.4270312571,0.0,1,G1,622.5880000000003,-1.6177599999999943,144.59879999999987,42.0,10.0,2.0,14.0,6.0,204.0,4.0,0.0,1.0,5.0,172.59999999999997,286.563462874555,2.419997657277347e-06,1836.5953336473767,Cc1ccc(Nc2ccc(Nc3ccc(C)cc3S(=O)(=O)[O-])c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)[O-])c1
71,CTVFHFFURJHNAT-UHFFFAOYSA-N,-4.2291529922,0.0,1,G1,389.835,-1.8358,17.686499999999995,13.0,0.0,0.0,13.0,0.0,84.0,0.0,0.0,0.0,0.0,256.5,125.21846078316908,-0.0,15.576391322853388,[Mo]
72,CEXQWAAGPPNOQF-UHFFFAOYSA-N,-2.9526471698,0.0,1,G1,206.241,2.1847000000000003,57.71000000000004,15.0,3.0,0.0,3.0,5.0,80.0,1.0,0.0,0.0,1.0,35.53,89.32006533274989,2.177249866158138,329.98028532933694,C=C(C)C(=O)OCCOc1ccccc1
73,FIPWRIJSWJWJAI-UHFFFAOYSA-N,-4.1510889183,0.1290920829223444,3,G5,338.44400000000013,3.7177000000000016,92.76200000000009,24.0,5.0,0.0,5.0,13.0,136.0,1.0,0.0,1.0,2.0,46.150000000000006,144.73754560065805,1.632174210208813,475.07010591802384,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
74,NBVXSUQYWXRMNV-UHFFFAOYSA-N,-0.1758743764999999,0.0,1,G1,34.033,0.5857,7.032,2.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,12.904786430755784,1.0,2.0,CF
75,XCSGHNKDXGYELG-UHFFFAOYSA-N,-3.9885265275,0.0,1,G1,214.264,3.144400000000002,63.87400000000004,16.0,2.0,0.0,2.0,5.0,82.0,2.0,0.0,0.0,2.0,18.46,95.445472013368,1.6982174709605096,356.0952225964737,c1ccc(OCCOc2ccccc2)cc1
76,VIOMIGLBMQVNLY-UHFFFAOYSA-N,-7.2780387128,0.0,1,G1,379.37500000000017,5.998200000000005,112.04680000000003,25.0,2.0,2.0,4.0,6.0,136.0,2.0,0.0,0.0,2.0,52.04,161.05929020291927,2.60526632304541,716.9411214738501,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N
77,OFHDOLUPOLKDSG-UHFFFAOYSA-M,-1.4396051212999998,0.0,1,G1,591.6210000000003,1.5511600000000008,153.6724999999998,42.0,8.0,3.0,11.0,6.0,208.0,4.0,0.0,1.0,5.0,158.48999999999998,265.1176663820488,4.049991229594891e-06,1889.0811835864984,Cc1cc(C)c(Nc2cc(S(=O)(=O)[O-])c(N)c3c2C(=O)c2ccccc2C3=O)c(C)c1CNC(=O)c1ccccc1
78,NIJJYAXOARWZEE-UHFFFAOYSA-N,-1.8579774272,0.0,1,G1,144.214,2.2874,40.9418,10.0,1.0,1.0,2.0,5.0,60.0,0.0,0.0,0.0,0.0,37.3,62.24960168084558,3.609578052682948,93.43071362054202,CCCC(CCC)C(=O)O
79,PGNWIWKMXVDXHP-UHFFFAOYSA-L,-4.285895804,0.0,1,G1,397.8900000000001,4.401700000000002,90.502,21.0,6.0,0.0,7.0,0.0,100.0,4.0,0.0,0.0,4.0,25.78,153.77114141464494,1.4666666475555558e-07,718.0672908331296,[S-]c1nc2ccccc2s1
